qoute,author,tags
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles"
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor"
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational"
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value"
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love"
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt
"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile"
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Marilyn Monroe,"friends, heartbreak, inspirational, life, love, sisters"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"courage, friends"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"simplicity, understand"
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Bob Marley,love
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Dr. Seuss,fantasy
“Try not to become a man of success. Rather become a man of value.”,Douglas Adams,"life, navigation"
“It is better to be hated for what you are than to be loved for what you are not.”,Elie Wiesel,"activism, apathy, hate, indifference, inspirational, love, opposite, philosophy"
"“I have not failed. I've just found 10,000 ways that won't work.”",Friedrich Nietzsche,"friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Mark Twain,"books, contentment, friends, friendship, life"
"“A day without sunshine is like, you know, night.”",Allen Saunders,"fate, life, misattributed-john-lennon, planning, plans"
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Pablo Neruda,"love, poetry"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",Ralph Waldo Emerson,happiness
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Mother Teresa,attributed-no-source
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Garrison Keillor,"humor, religion"
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Jim Henson,humor
“Try not to become a man of success. Rather become a man of value.”,Dr. Seuss,"comedy, life, yourself"
“It is better to be hated for what you are than to be loved for what you are not.”,Albert Einstein,"children, fairy-tales"
"“I have not failed. I've just found 10,000 ways that won't work.”",J.K. Rowling,
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Albert Einstein,imagination
"“A day without sunshine is like, you know, night.”",Bob Marley,music
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Dr. Seuss,"learning, reading, seuss"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,dumbledore
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Bob Marley,friendship
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Mother Teresa,"misattributed-to-mother-teresa, paraphrased"
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",J.K. Rowling,"death, inspirational"
“Try not to become a man of success. Rather become a man of value.”,Charles M. Schulz,"chocolate, food, humor"
“It is better to be hated for what you are than to be loved for what you are not.”,William Nicholson,"misattributed-to-c-s-lewis, reading"
"“I have not failed. I've just found 10,000 ways that won't work.”",Albert Einstein,"knowledge, learning, understanding, wisdom"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Jorge Luis Borges,"books, library"
"“A day without sunshine is like, you know, night.”",George Eliot,inspirational
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,George R.R. Martin,"read, readers, reading, reading-books"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",C.S. Lewis,"books, inspirational, reading, tea"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Marilyn Monroe,
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Marilyn Monroe,"girls, love"
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Albert Einstein,"life, simile"
“Try not to become a man of success. Rather become a man of value.”,Marilyn Monroe,love
“It is better to be hated for what you are than to be loved for what you are not.”,Marilyn Monroe,attributed-no-source
"“I have not failed. I've just found 10,000 ways that won't work.”",Martin Luther King Jr.,"hope, inspirational"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,J.K. Rowling,dumbledore
"“A day without sunshine is like, you know, night.”",James Baldwin,love
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Jane Austen,"friendship, love"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",Eleanor Roosevelt,"attributed, fear, inspiration"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Marilyn Monroe,attributed-no-source
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Albert Einstein,music
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Haruki Murakami,"books, thought"
“Try not to become a man of success. Rather become a man of value.”,Alexandre Dumas fils,misattributed-to-einstein
“It is better to be hated for what you are than to be loved for what you are not.”,Stephenie Meyer,"drug, romance, simile"
"“I have not failed. I've just found 10,000 ways that won't work.”",Ernest Hemingway,"books, friends, novelist-quotes"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Helen Keller,inspirational
"“A day without sunshine is like, you know, night.”",George Bernard Shaw,"inspirational, life, yourself"
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Charles Bukowski,alcohol
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",Suzanne Collins,the-hunger-games
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Suzanne Collins,humor
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",C.S. Lewis,love
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",J.R.R. Tolkien,"bilbo, journey, lost, quest, travel, wander"
“Try not to become a man of success. Rather become a man of value.”,J.K. Rowling,live-death-love
“It is better to be hated for what you are than to be loved for what you are not.”,Ernest Hemingway,"good, writing"
"“I have not failed. I've just found 10,000 ways that won't work.”",Ralph Waldo Emerson,"life, regrets"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Mark Twain,education
"“A day without sunshine is like, you know, night.”",Dr. Seuss,troubles
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Alfred Tennyson,"friendship, love"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",Charles Bukowski,humor
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Terry Pratchett,"humor, open-mind, thinking"
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Dr. Seuss,"humor, philosophy"
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",J.D. Salinger,"authors, books, literature, reading, writing"
“Try not to become a man of success. Rather become a man of value.”,George Carlin,"humor, insanity, lies, lying, self-indulgence, truth"
“It is better to be hated for what you are than to be loved for what you are not.”,John Lennon,"beatles, connection, dreamers, dreaming, dreams, hope, inspirational, peace"
"“I have not failed. I've just found 10,000 ways that won't work.”",W.C. Fields,"humor, sinister"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Ayn Rand,
"“A day without sunshine is like, you know, night.”",Mark Twain,"books, classic, reading"
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,mistakes
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",Jane Austen,"humor, love, romantic, women"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,J.K. Rowling,integrity
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"books, library, reading"
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Jane Austen,"elizabeth-bennet, jane-austen"
“Try not to become a man of success. Rather become a man of value.”,C.S. Lewis,"age, fairytales, growing-up"
“It is better to be hated for what you are than to be loved for what you are not.”,C.S. Lewis,god
"“I have not failed. I've just found 10,000 ways that won't work.”",Mark Twain,"death, life"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Mark Twain,"misattributed-mark-twain, truth"
"“A day without sunshine is like, you know, night.”",C.S. Lewis,"christianity, faith, religion, sun"
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,J.K. Rowling,truth
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",Jimi Hendrix,"death, life"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,J.M. Barrie,"adventure, love"
